ticker,company,weeks_present,first_seen,last_seen,presence_pct,status
AAPL,Apple Inc.,258,2021-01-22,2025-12-26,100.0,CONSTANT
ABBV,AbbVie,258,2021-01-22,2025-12-26,100.0,CONSTANT
ABT,Abbott Laboratories,258,2021-01-22,2025-12-26,100.0,CONSTANT
ACN,Accenture,258,2021-01-22,2025-12-26,100.0,CONSTANT
ADBE,Adobe Inc.,258,2021-01-22,2025-12-26,100.0,CONSTANT
AIG,American International Group,258,2021-01-22,2025-12-26,100.0,CONSTANT
AMGN,Amgen,258,2021-01-22,2025-12-26,100.0,CONSTANT
AMT,American Tower,258,2021-01-22,2025-12-26,100.0,CONSTANT
AMZN,Amazon,258,2021-01-22,2025-12-26,100.0,CONSTANT
AXP,American Express,258,2021-01-22,2025-12-26,100.0,CONSTANT
BA,Boeing,258,2021-01-22,2025-12-26,100.0,CONSTANT
BAC,Bank of America,258,2021-01-22,2025-12-26,100.0,CONSTANT
BK,BNY Mellon,258,2021-01-22,2025-12-26,100.0,CONSTANT
BKNG,Booking Holdings,258,2021-01-22,2025-12-26,100.0,CONSTANT
BLK,BlackRock,258,2021-01-22,2025-12-26,100.0,CONSTANT
BMY,Bristol Myers Squibb,258,2021-01-22,2025-12-26,100.0,CONSTANT
C,Citigroup,258,2021-01-22,2025-12-26,100.0,CONSTANT
CAT,Caterpillar Inc.,258,2021-01-22,2025-12-26,100.0,CONSTANT
CL,Colgate-Palmolive,258,2021-01-22,2025-12-26,100.0,CONSTANT
CMCSA,Comcast,258,2021-01-22,2025-12-26,100.0,CONSTANT
COF,Capital One,258,2021-01-22,2025-12-26,100.0,CONSTANT
COP,ConocoPhillips,258,2021-01-22,2025-12-26,100.0,CONSTANT
COST,Costco,258,2021-01-22,2025-12-26,100.0,CONSTANT
CRM,Salesforce,258,2021-01-22,2025-12-26,100.0,CONSTANT
CSCO,Cisco,258,2021-01-22,2025-12-26,100.0,CONSTANT
CVS,CVS Health,258,2021-01-22,2025-12-26,100.0,CONSTANT
CVX,Chevron Corporation,258,2021-01-22,2025-12-26,100.0,CONSTANT
DHR,Danaher Corporation,258,2021-01-22,2025-12-26,100.0,CONSTANT
DIS,Walt Disney Company (The),258,2021-01-22,2025-12-26,100.0,CONSTANT
DUK,Duke Energy,258,2021-01-22,2025-12-26,100.0,CONSTANT
EMR,Emerson Electric,258,2021-01-22,2025-12-26,100.0,CONSTANT
FDX,FedEx,258,2021-01-22,2025-12-26,100.0,CONSTANT
GD,General Dynamics,258,2021-01-22,2025-12-26,100.0,CONSTANT
GE,GE Aerospace,258,2021-01-22,2025-12-26,100.0,CONSTANT
GILD,Gilead Sciences,258,2021-01-22,2025-12-26,100.0,CONSTANT
GM,General Motors,258,2021-01-22,2025-12-26,100.0,CONSTANT
GOOG,Alphabet Inc.(Class C),258,2021-01-22,2025-12-26,100.0,CONSTANT
GOOGL,Alphabet Inc. (Class A),258,2021-01-22,2025-12-26,100.0,CONSTANT
GS,Goldman Sachs,258,2021-01-22,2025-12-26,100.0,CONSTANT
HD,Home Depot,258,2021-01-22,2025-12-26,100.0,CONSTANT
HON,Honeywell,258,2021-01-22,2025-12-26,100.0,CONSTANT
IBM,IBM,258,2021-01-22,2025-12-26,100.0,CONSTANT
INTC,Intel,258,2021-01-22,2025-12-26,100.0,CONSTANT
JNJ,Johnson & Johnson,258,2021-01-22,2025-12-26,100.0,CONSTANT
JPM,JPMorgan Chase,258,2021-01-22,2025-12-26,100.0,CONSTANT
KO,Coca-Cola Company (The),258,2021-01-22,2025-12-26,100.0,CONSTANT
LLY,Eli Lilly and Company,258,2021-01-22,2025-12-26,100.0,CONSTANT
LMT,Lockheed Martin,258,2021-01-22,2025-12-26,100.0,CONSTANT
LOW,Lowe's,258,2021-01-22,2025-12-26,100.0,CONSTANT
MA,Mastercard,258,2021-01-22,2025-12-26,100.0,CONSTANT
MCD,McDonald's,258,2021-01-22,2025-12-26,100.0,CONSTANT
MDLZ,Mondelēz International,258,2021-01-22,2025-12-26,100.0,CONSTANT
MDT,Medtronic,258,2021-01-22,2025-12-26,100.0,CONSTANT
MET,MetLife,258,2021-01-22,2025-12-26,100.0,CONSTANT
MMM,3M,258,2021-01-22,2025-12-26,100.0,CONSTANT
MO,Altria,258,2021-01-22,2025-12-26,100.0,CONSTANT
MRK,Merck & Co.,258,2021-01-22,2025-12-26,100.0,CONSTANT
MS,Morgan Stanley,258,2021-01-22,2025-12-26,100.0,CONSTANT
MSFT,Microsoft,258,2021-01-22,2025-12-26,100.0,CONSTANT
NEE,NextEra Energy,258,2021-01-22,2025-12-26,100.0,CONSTANT
NFLX,"Netflix, Inc.",258,2021-01-22,2025-12-26,100.0,CONSTANT
NKE,"Nike, Inc.",258,2021-01-22,2025-12-26,100.0,CONSTANT
NVDA,Nvidia,258,2021-01-22,2025-12-26,100.0,CONSTANT
ORCL,Oracle Corporation,258,2021-01-22,2025-12-26,100.0,CONSTANT
PEP,PepsiCo,258,2021-01-22,2025-12-26,100.0,CONSTANT
PFE,Pfizer,258,2021-01-22,2025-12-26,100.0,CONSTANT
PG,Procter & Gamble,258,2021-01-22,2025-12-26,100.0,CONSTANT
PM,Philip Morris International,258,2021-01-22,2025-12-26,100.0,CONSTANT
PYPL,PayPal,258,2021-01-22,2025-12-26,100.0,CONSTANT
QCOM,Qualcomm,258,2021-01-22,2025-12-26,100.0,CONSTANT
RTX,RTX Corporation,258,2021-01-22,2025-12-26,100.0,CONSTANT
SBUX,Starbucks,258,2021-01-22,2025-12-26,100.0,CONSTANT
SO,Southern Company,258,2021-01-22,2025-12-26,100.0,CONSTANT
SPG,Simon Property Group,258,2021-01-22,2025-12-26,100.0,CONSTANT
T,AT&T,258,2021-01-22,2025-12-26,100.0,CONSTANT
