ticker,company,weeks_present,first_seen,last_seen,presence_pct,status
AVGO,Broadcom,249,2021-03-26,2025-12-26,96.51,TRANSIENT
LIN,Linde plc,249,2021-03-26,2025-12-26,96.51,TRANSIENT
TMUS,T-Mobile US,249,2021-03-26,2025-12-26,96.51,TRANSIENT
CHTR,Charter Communications,243,2021-01-22,2025-09-19,94.19,TRANSIENT
F,Ford Motor Company,218,2021-01-22,2025-03-21,84.5,TRANSIENT
KHC,Kraft Heinz,218,2021-01-22,2025-03-21,84.5,TRANSIENT
DOW,Dow Inc.,218,2021-01-22,2025-03-21,84.5,TRANSIENT
SCHW,Charles Schwab Corporation,197,2022-03-25,2025-12-26,76.36,TRANSIENT
META,Meta Platforms,186,2022-06-10,2025-12-26,72.09,TRANSIENT
AMD,Advanced Micro Devices,171,2022-09-23,2025-12-26,66.28,TRANSIENT
EXC,Exelon,166,2021-01-22,2024-03-22,64.34,TRANSIENT
WBA,Walgreens Boots Alliance,139,2021-01-22,2023-09-15,53.88,TRANSIENT
DE,Deere & Company,119,2023-09-22,2025-12-26,46.12,TRANSIENT
INTU,Intuit,92,2024-03-29,2025-12-26,35.66,TRANSIENT
DD,DuPont,87,2021-01-22,2022-09-16,33.72,TRANSIENT
FB,Meta,72,2021-01-22,2022-06-03,27.91,TRANSIENT
BIIB,Biogen,61,2021-01-22,2022-03-18,23.64,TRANSIENT
NOW,ServiceNow,40,2025-03-28,2025-12-26,15.5,TRANSIENT
PLTR,Palantir Technologies,40,2025-03-28,2025-12-26,15.5,TRANSIENT
ISRG,Intuitive Surgical,40,2025-03-28,2025-12-26,15.5,TRANSIENT
UBER,Uber,15,2025-09-05,2025-12-26,5.81,TRANSIENT
ALL,Allstate,9,2021-01-22,2021-03-19,3.49,TRANSIENT
KMI,Kinder Morgan,9,2021-01-22,2021-03-19,3.49,TRANSIENT
SLB,Schlumberger,9,2021-01-22,2021-03-19,3.49,TRANSIENT
