checkpoint,revid,ticker,company
2021-01-22,1001548988,AAPL,Apple Inc.
2021-01-22,1001548988,ABBV,AbbVie Inc.
2021-01-22,1001548988,ABT,Abbott Laboratories
2021-01-22,1001548988,ACN,Accenture
2021-01-22,1001548988,ADBE,Adobe Inc.
2021-01-22,1001548988,AIG,American International Group
2021-01-22,1001548988,ALL,Allstate
2021-01-22,1001548988,AMGN,Amgen Inc.
2021-01-22,1001548988,AMT,American Tower
2021-01-22,1001548988,AMZN,Amazon.com
2021-01-22,1001548988,AXP,American Express
2021-01-22,1001548988,BA,Boeing Co.
2021-01-22,1001548988,BAC,Bank of America Corp
2021-01-22,1001548988,BIIB,Biogen
2021-01-22,1001548988,BK,The Bank of New York Mellon
2021-01-22,1001548988,BKNG,Booking Holdings
2021-01-22,1001548988,BLK,BlackRock Inc
2021-01-22,1001548988,BMY,Bristol-Myers Squibb
2021-01-22,1001548988,C,Citigroup Inc
2021-01-22,1001548988,CAT,Caterpillar Inc.
2021-01-22,1001548988,CHTR,Charter Communications
2021-01-22,1001548988,CL,Colgate-Palmolive
2021-01-22,1001548988,CMCSA,Comcast Corp.
2021-01-22,1001548988,COF,Capital One Financial Corp.
2021-01-22,1001548988,COP,ConocoPhillips
2021-01-22,1001548988,COST,Costco Wholesale Corp.
2021-01-22,1001548988,CRM,salesforce.com
2021-01-22,1001548988,CSCO,Cisco Systems
2021-01-22,1001548988,CVS,CVS Health
2021-01-22,1001548988,CVX,Chevron Corporation
2021-01-22,1001548988,DD,DuPont de Nemours Inc
2021-01-22,1001548988,DHR,Danaher Corporation
2021-01-22,1001548988,DIS,The Walt Disney Company
2021-01-22,1001548988,DOW,Dow Inc.
2021-01-22,1001548988,DUK,Duke Energy
2021-01-22,1001548988,EMR,Emerson Electric Co.
2021-01-22,1001548988,EXC,Exelon
2021-01-22,1001548988,F,Ford Motor Company
2021-01-22,1001548988,FB,"Facebook, Inc."
2021-01-22,1001548988,FDX,FedEx
2021-01-22,1001548988,GD,General Dynamics
2021-01-22,1001548988,GE,General Electric
2021-01-22,1001548988,GILD,Gilead Sciences
2021-01-22,1001548988,GM,General Motors
2021-01-22,1001548988,GOOG,Alphabet Inc.(Class C)
2021-01-22,1001548988,GOOGL,Alphabet Inc.(Class A)
2021-01-22,1001548988,GS,Goldman Sachs
2021-01-22,1001548988,HD,The Home Depot
2021-01-22,1001548988,HON,Honeywell
2021-01-22,1001548988,IBM,International Business Machines
2021-01-22,1001548988,INTC,Intel Corp.
2021-01-22,1001548988,JNJ,Johnson & Johnson
2021-01-22,1001548988,JPM,JPMorgan Chase & Co.
2021-01-22,1001548988,KHC,Kraft Heinz
2021-01-22,1001548988,KMI,Kinder Morgan
2021-01-22,1001548988,KO,The Coca-Cola Company
2021-01-22,1001548988,LLY,Eli Lilly and Company
2021-01-22,1001548988,LMT,Lockheed Martin
2021-01-22,1001548988,LOW,Lowe's
2021-01-22,1001548988,MA,MasterCard Inc
2021-01-22,1001548988,MCD,McDonald's Corp
2021-01-22,1001548988,MDLZ,Mondelēz International
2021-01-22,1001548988,MDT,Medtronic plc
2021-01-22,1001548988,MET,MetLife Inc.
2021-01-22,1001548988,MMM,3M Company
2021-01-22,1001548988,MO,Altria Group
2021-01-22,1001548988,MRK,Merck & Co.
2021-01-22,1001548988,MS,Morgan Stanley
2021-01-22,1001548988,MSFT,Microsoft
2021-01-22,1001548988,NEE,NextEra Energy
2021-01-22,1001548988,NFLX,Netflix
2021-01-22,1001548988,NKE,"Nike, Inc."
2021-01-22,1001548988,NVDA,Nvidia Corporation
2021-01-22,1001548988,ORCL,Oracle Corporation
2021-01-22,1001548988,PEP,PepsiCo
2021-01-22,1001548988,PFE,Pfizer Inc
2021-01-22,1001548988,PG,Procter & Gamble
2021-01-22,1001548988,PM,Philip Morris International
2021-01-22,1001548988,PYPL,PayPal
2021-01-22,1001548988,QCOM,Qualcomm
2021-01-22,1001548988,RTX,Raytheon Technologies
2021-01-22,1001548988,SBUX,Starbucks Corp.
2021-01-22,1001548988,SLB,Schlumberger
2021-01-22,1001548988,SO,Southern Company
2021-01-22,1001548988,SPG,Simon Property Group
2021-01-22,1001548988,T,AT&T Inc
2021-01-22,1001548988,TGT,Target Corporation
2021-01-22,1001548988,TMO,Thermo Fisher Scientific
2021-01-22,1001548988,TSLA,"Tesla, Inc."
2021-01-22,1001548988,TXN,Texas Instruments
2021-01-22,1001548988,UNH,UnitedHealth Group
2021-01-22,1001548988,UNP,Union Pacific Corporation
2021-01-22,1001548988,UPS,United Parcel Service
2021-01-22,1001548988,USB,U.S. Bancorp
2021-01-22,1001548988,V,Visa Inc.
2021-01-22,1001548988,VZ,Verizon Communications
2021-01-22,1001548988,WBA,Walgreens Boots Alliance
2021-01-22,1001548988,WFC,Wells Fargo
2021-01-22,1001548988,WMT,Walmart
2021-01-22,1001548988,XOM,Exxon Mobil Corp.
2021-01-29,1002964260,AAPL,Apple Inc.
2021-01-29,1002964260,ABBV,AbbVie Inc.
2021-01-29,1002964260,ABT,Abbott Laboratories
2021-01-29,1002964260,ACN,Accenture
2021-01-29,1002964260,ADBE,Adobe Inc.
2021-01-29,1002964260,AIG,American International Group
2021-01-29,1002964260,ALL,Allstate
2021-01-29,1002964260,AMGN,Amgen Inc.
2021-01-29,1002964260,AMT,American Tower
2021-01-29,1002964260,AMZN,Amazon.com
2021-01-29,1002964260,AXP,American Express
2021-01-29,1002964260,BA,Boeing Co.
2021-01-29,1002964260,BAC,Bank of America Corp
2021-01-29,1002964260,BIIB,Biogen
2021-01-29,1002964260,BK,The Bank of New York Mellon
2021-01-29,1002964260,BKNG,Booking Holdings
2021-01-29,1002964260,BLK,BlackRock Inc
2021-01-29,1002964260,BMY,Bristol-Myers Squibb
2021-01-29,1002964260,C,Citigroup Inc
2021-01-29,1002964260,CAT,Caterpillar Inc.
2021-01-29,1002964260,CHTR,Charter Communications
2021-01-29,1002964260,CL,Colgate-Palmolive
2021-01-29,1002964260,CMCSA,Comcast Corp.
2021-01-29,1002964260,COF,Capital One Financial Corp.
2021-01-29,1002964260,COP,ConocoPhillips
2021-01-29,1002964260,COST,Costco Wholesale Corp.
2021-01-29,1002964260,CRM,salesforce.com
2021-01-29,1002964260,CSCO,Cisco Systems
2021-01-29,1002964260,CVS,CVS Health
2021-01-29,1002964260,CVX,Chevron Corporation
2021-01-29,1002964260,DD,DuPont de Nemours Inc
2021-01-29,1002964260,DHR,Danaher Corporation
2021-01-29,1002964260,DIS,The Walt Disney Company
2021-01-29,1002964260,DOW,Dow Inc.
2021-01-29,1002964260,DUK,Duke Energy
2021-01-29,1002964260,EMR,Emerson Electric Co.
2021-01-29,1002964260,EXC,Exelon
2021-01-29,1002964260,F,Ford Motor Company
2021-01-29,1002964260,FB,"Facebook, Inc."
2021-01-29,1002964260,FDX,FedEx
2021-01-29,1002964260,GD,General Dynamics
2021-01-29,1002964260,GE,General Electric
2021-01-29,1002964260,GILD,Gilead Sciences
2021-01-29,1002964260,GM,General Motors
2021-01-29,1002964260,GOOG,Alphabet Inc.(Class C)
2021-01-29,1002964260,GOOGL,Alphabet Inc.(Class A)
2021-01-29,1002964260,GS,Goldman Sachs
2021-01-29,1002964260,HD,The Home Depot
2021-01-29,1002964260,HON,Honeywell
2021-01-29,1002964260,IBM,International Business Machines
2021-01-29,1002964260,INTC,Intel Corp.
2021-01-29,1002964260,JNJ,Johnson & Johnson
2021-01-29,1002964260,JPM,JPMorgan Chase & Co.
2021-01-29,1002964260,KHC,Kraft Heinz
2021-01-29,1002964260,KMI,Kinder Morgan
2021-01-29,1002964260,KO,The Coca-Cola Company
2021-01-29,1002964260,LLY,Eli Lilly and Company
2021-01-29,1002964260,LMT,Lockheed Martin
2021-01-29,1002964260,LOW,Lowe's
2021-01-29,1002964260,MA,MasterCard Inc
2021-01-29,1002964260,MCD,McDonald's Corp
2021-01-29,1002964260,MDLZ,Mondelēz International
2021-01-29,1002964260,MDT,Medtronic plc
2021-01-29,1002964260,MET,MetLife Inc.
2021-01-29,1002964260,MMM,3M Company
2021-01-29,1002964260,MO,Altria Group
2021-01-29,1002964260,MRK,Merck & Co.
2021-01-29,1002964260,MS,Morgan Stanley
2021-01-29,1002964260,MSFT,Microsoft
2021-01-29,1002964260,NEE,NextEra Energy
2021-01-29,1002964260,NFLX,Netflix
2021-01-29,1002964260,NKE,"Nike, Inc."
2021-01-29,1002964260,NVDA,Nvidia Corporation
2021-01-29,1002964260,ORCL,Oracle Corporation
2021-01-29,1002964260,PEP,PepsiCo
2021-01-29,1002964260,PFE,Pfizer Inc
2021-01-29,1002964260,PG,Procter & Gamble
2021-01-29,1002964260,PM,Philip Morris International
2021-01-29,1002964260,PYPL,PayPal
2021-01-29,1002964260,QCOM,Qualcomm
2021-01-29,1002964260,RTX,Raytheon Technologies
2021-01-29,1002964260,SBUX,Starbucks Corp.
2021-01-29,1002964260,SLB,Schlumberger
2021-01-29,1002964260,SO,Southern Company
2021-01-29,1002964260,SPG,Simon Property Group
2021-01-29,1002964260,T,AT&T Inc
2021-01-29,1002964260,TGT,Target Corporation
2021-01-29,1002964260,TMO,Thermo Fisher Scientific
2021-01-29,1002964260,TSLA,"Tesla, Inc."
2021-01-29,1002964260,TXN,Texas Instruments
2021-01-29,1002964260,UNH,UnitedHealth Group
2021-01-29,1002964260,UNP,Union Pacific Corporation
2021-01-29,1002964260,UPS,United Parcel Service
2021-01-29,1002964260,USB,U.S. Bancorp
2021-01-29,1002964260,V,Visa Inc.
2021-01-29,1002964260,VZ,Verizon Communications
2021-01-29,1002964260,WBA,Walgreens Boots Alliance
2021-01-29,1002964260,WFC,Wells Fargo
2021-01-29,1002964260,WMT,Walmart
2021-01-29,1002964260,XOM,Exxon Mobil Corp.
2021-02-05,1004315100,AAPL,Apple Inc.
2021-02-05,1004315100,ABBV,AbbVie Inc.
2021-02-05,1004315100,ABT,Abbott Laboratories
2021-02-05,1004315100,ACN,Accenture
2021-02-05,1004315100,ADBE,Adobe Inc.
2021-02-05,1004315100,AIG,American International Group
2021-02-05,1004315100,ALL,Allstate
2021-02-05,1004315100,AMGN,Amgen Inc.
2021-02-05,1004315100,AMT,American Tower
2021-02-05,1004315100,AMZN,Amazon.com
2021-02-05,1004315100,AXP,American Express
2021-02-05,1004315100,BA,Boeing Co.
2021-02-05,1004315100,BAC,Bank of America Corp
2021-02-05,1004315100,BIIB,Biogen
2021-02-05,1004315100,BK,The Bank of New York Mellon
2021-02-05,1004315100,BKNG,Booking Holdings
2021-02-05,1004315100,BLK,BlackRock Inc
2021-02-05,1004315100,BMY,Bristol-Myers Squibb
2021-02-05,1004315100,C,Citigroup Inc
2021-02-05,1004315100,CAT,Caterpillar Inc.
2021-02-05,1004315100,CHTR,Charter Communications
2021-02-05,1004315100,CL,Colgate-Palmolive
2021-02-05,1004315100,CMCSA,Comcast Corp.
2021-02-05,1004315100,COF,Capital One Financial Corp.
2021-02-05,1004315100,COP,ConocoPhillips
2021-02-05,1004315100,COST,Costco Wholesale Corp.
2021-02-05,1004315100,CRM,salesforce.com
2021-02-05,1004315100,CSCO,Cisco Systems
2021-02-05,1004315100,CVS,CVS Health
2021-02-05,1004315100,CVX,Chevron Corporation
2021-02-05,1004315100,DD,DuPont de Nemours Inc
2021-02-05,1004315100,DHR,Danaher Corporation
2021-02-05,1004315100,DIS,The Walt Disney Company
2021-02-05,1004315100,DOW,Dow Inc.
2021-02-05,1004315100,DUK,Duke Energy
2021-02-05,1004315100,EMR,Emerson Electric Co.
2021-02-05,1004315100,EXC,Exelon
2021-02-05,1004315100,F,Ford Motor Company
2021-02-05,1004315100,FB,"Facebook, Inc."
2021-02-05,1004315100,FDX,FedEx
2021-02-05,1004315100,GD,General Dynamics
2021-02-05,1004315100,GE,General Electric
2021-02-05,1004315100,GILD,Gilead Sciences
2021-02-05,1004315100,GM,General Motors
2021-02-05,1004315100,GOOG,Alphabet Inc.(Class C)
2021-02-05,1004315100,GOOGL,Alphabet Inc.(Class A)
2021-02-05,1004315100,GS,Goldman Sachs
2021-02-05,1004315100,HD,The Home Depot
2021-02-05,1004315100,HON,Honeywell
2021-02-05,1004315100,IBM,International Business Machines
2021-02-05,1004315100,INTC,Intel Corp.
2021-02-05,1004315100,JNJ,Johnson & Johnson
2021-02-05,1004315100,JPM,JPMorgan Chase & Co.
2021-02-05,1004315100,KHC,Kraft Heinz
2021-02-05,1004315100,KMI,Kinder Morgan
2021-02-05,1004315100,KO,The Coca-Cola Company
2021-02-05,1004315100,LLY,Eli Lilly and Company
2021-02-05,1004315100,LMT,Lockheed Martin
2021-02-05,1004315100,LOW,Lowe's
2021-02-05,1004315100,MA,MasterCard Inc
2021-02-05,1004315100,MCD,McDonald's Corp
2021-02-05,1004315100,MDLZ,Mondelēz International
2021-02-05,1004315100,MDT,Medtronic plc
2021-02-05,1004315100,MET,MetLife Inc.
2021-02-05,1004315100,MMM,3M Company
2021-02-05,1004315100,MO,Altria Group
2021-02-05,1004315100,MRK,Merck & Co.
2021-02-05,1004315100,MS,Morgan Stanley
2021-02-05,1004315100,MSFT,Microsoft
2021-02-05,1004315100,NEE,NextEra Energy
2021-02-05,1004315100,NFLX,Netflix
2021-02-05,1004315100,NKE,"Nike, Inc."
2021-02-05,1004315100,NVDA,Nvidia Corporation
2021-02-05,1004315100,ORCL,Oracle Corporation
2021-02-05,1004315100,PEP,PepsiCo
2021-02-05,1004315100,PFE,Pfizer Inc
2021-02-05,1004315100,PG,Procter & Gamble
2021-02-05,1004315100,PM,Philip Morris International
2021-02-05,1004315100,PYPL,PayPal
2021-02-05,1004315100,QCOM,Qualcomm
2021-02-05,1004315100,RTX,Raytheon Technologies
2021-02-05,1004315100,SBUX,Starbucks Corp.
2021-02-05,1004315100,SLB,Schlumberger
2021-02-05,1004315100,SO,Southern Company
2021-02-05,1004315100,SPG,Simon Property Group
2021-02-05,1004315100,T,AT&T Inc
2021-02-05,1004315100,TGT,Target Corporation
2021-02-05,1004315100,TMO,Thermo Fisher Scientific
2021-02-05,1004315100,TSLA,"Tesla, Inc."
2021-02-05,1004315100,TXN,Texas Instruments
2021-02-05,1004315100,UNH,UnitedHealth Group
2021-02-05,1004315100,UNP,Union Pacific Corporation
2021-02-05,1004315100,UPS,United Parcel Service
2021-02-05,1004315100,USB,U.S. Bancorp
2021-02-05,1004315100,V,Visa Inc.
2021-02-05,1004315100,VZ,Verizon Communications
2021-02-05,1004315100,WBA,Walgreens Boots Alliance
2021-02-05,1004315100,WFC,Wells Fargo
2021-02-05,1004315100,WMT,Walmart
2021-02-05,1004315100,XOM,Exxon Mobil Corp.
2021-02-12,1004315100,AAPL,Apple Inc.
2021-02-12,1004315100,ABBV,AbbVie Inc.
2021-02-12,1004315100,ABT,Abbott Laboratories
2021-02-12,1004315100,ACN,Accenture
2021-02-12,1004315100,ADBE,Adobe Inc.
2021-02-12,1004315100,AIG,American International Group
2021-02-12,1004315100,ALL,Allstate
2021-02-12,1004315100,AMGN,Amgen Inc.
2021-02-12,1004315100,AMT,American Tower
2021-02-12,1004315100,AMZN,Amazon.com
2021-02-12,1004315100,AXP,American Express
2021-02-12,1004315100,BA,Boeing Co.
2021-02-12,1004315100,BAC,Bank of America Corp
2021-02-12,1004315100,BIIB,Biogen
2021-02-12,1004315100,BK,The Bank of New York Mellon
2021-02-12,1004315100,BKNG,Booking Holdings
